date,Case_Temperature,inputpower
2022-01-07 01:03:15,33.1,5.508
2022-01-07 01:03:16,33.1,5.508
2022-01-07 01:03:17,33.1,5.1824
2022-01-07 01:03:18,33.1,5.1824
2022-01-07 01:03:19,33.1,5.1824
2022-01-07 01:03:20,33.2,5.5148
2022-01-07 01:03:21,33.2,5.5148
2022-01-07 01:03:22,33.2,5.5148
2022-01-07 01:03:23,33.0,4.863
2022-01-07 01:03:24,33.0,4.863
2022-01-07 01:03:25,33.0,4.863
2022-01-07 01:03:26,33.0,5.1888
2022-01-07 01:03:27,33.0,5.1888
2022-01-07 01:03:28,33.0,5.1888
2022-01-07 01:03:29,33.1,5.8374
2022-01-07 01:03:30,33.1,5.8374
2022-01-07 01:03:31,33.1,5.8374
2022-01-07 01:03:32,32.9,6.484
2022-01-07 01:03:33,32.9,6.484
2022-01-07 01:03:34,32.9,6.484
2022-01-07 01:03:35,33.1,3.8892
2022-01-07 01:03:36,33.1,3.8892
2022-01-07 01:03:37,33.1,3.8892
2022-01-07 01:03:38,33.1,5.5131
2022-01-07 01:03:39,33.1,5.5131
2022-01-07 01:03:40,33.1,5.5131
2022-01-07 01:03:41,33.0,2.9178
2022-01-07 01:03:42,33.0,2.9178
2022-01-07 01:03:43,33.0,2.9178
2022-01-07 01:03:44,33.0,5.1856
2022-01-07 01:03:45,33.0,5.1856
2022-01-07 01:03:46,33.0,5.1856
2022-01-07 01:03:47,33.0,6.1503
2022-01-07 01:03:48,33.0,6.1503
2022-01-07 01:03:49,33.0,6.1503
2022-01-07 01:03:50,33.0,5.508
2022-01-07 01:03:51,33.0,5.508
2022-01-07 01:03:52,33.0,5.508
2022-01-07 01:03:53,33.0,4.8615
2022-01-07 01:03:54,33.0,4.8615
2022-01-07 01:03:55,33.0,4.8615
2022-01-07 01:03:56,33.1,4.536
2022-01-07 01:03:57,33.1,4.536
2022-01-07 01:03:58,33.1,4.536
2022-01-07 01:03:59,33.0,4.5388
2022-01-07 01:04:00,33.0,4.5388
2022-01-07 01:04:01,33.0,4.5388
2022-01-07 01:04:02,33.0,5.5131
2022-01-07 01:04:03,33.0,5.5131
2022-01-07 01:04:04,33.0,5.5131
2022-01-07 01:04:05,33.3,4.8585
2022-01-07 01:04:06,33.3,4.8585
2022-01-07 01:04:07,33.3,4.8585
2022-01-07 01:04:08,33.0,4.2094
2022-01-07 01:04:09,33.0,4.2094
2022-01-07 01:04:10,33.0,4.2094
2022-01-07 01:04:11,33.0,5.5114
2022-01-07 01:04:12,33.0,5.5114
2022-01-07 01:04:13,33.0,5.5114
2022-01-07 01:04:14,33.1,5.1856
2022-01-07 01:04:15,33.1,5.1856
2022-01-07 01:04:16,33.1,5.1856
2022-01-07 01:04:17,33.0,3.8868
2022-01-07 01:04:18,33.0,3.8868
2022-01-07 01:04:19,33.0,3.8868
2022-01-07 01:04:20,33.0,4.536
2022-01-07 01:04:21,33.0,4.536
2022-01-07 01:04:22,33.0,4.536
2022-01-07 01:04:23,33.2,5.1824
2022-01-07 01:04:24,33.2,5.1824
2022-01-07 01:04:25,33.2,5.1824
2022-01-07 01:04:26,32.9,3.241
2022-01-07 01:04:27,32.9,3.241
2022-01-07 01:04:28,32.9,3.241
2022-01-07 01:04:29,33.0,4.536
2022-01-07 01:04:30,33.0,4.536
2022-01-07 01:04:31,33.0,4.536
2022-01-07 01:04:32,33.2,5.1888
2022-01-07 01:04:33,33.2,5.1888
2022-01-07 01:04:34,33.2,5.1888
2022-01-07 01:04:35,32.9,4.5458
2022-01-07 01:04:36,32.9,4.5458
2022-01-07 01:04:37,32.9,4.5458
2022-01-07 01:04:38,33.0,5.832
2022-01-07 01:04:39,33.0,5.832
2022-01-07 01:04:40,33.0,5.832
2022-01-07 01:04:41,33.2,3.888
2022-01-07 01:04:42,33.2,3.888
2022-01-07 01:04:43,33.2,3.888
2022-01-07 01:04:44,33.1,4.5346
2022-01-07 01:04:45,33.1,4.5346
2022-01-07 01:04:46,33.1,4.5346
2022-01-07 01:04:47,33.0,4.5346
2022-01-07 01:04:48,33.0,4.5346
2022-01-07 01:04:49,33.0,4.5346
2022-01-07 01:04:50,33.2,5.1824
2022-01-07 01:04:51,33.2,5.1824
2022-01-07 01:04:52,33.2,5.1824
2022-01-07 01:04:53,33.0,3.8892
2022-01-07 01:04:54,33.0,3.8892
2022-01-07 01:04:55,33.0,3.8892
2022-01-07 01:04:56,33.2,5.8374
2022-01-07 01:04:57,33.2,5.8374
2022-01-07 01:04:58,33.2,5.8374
2022-01-07 01:04:59,33.2,3.8868
2022-01-07 01:05:00,33.2,3.8868
2022-01-07 01:05:01,33.2,3.8868
2022-01-07 01:05:02,33.1,3.8844
2022-01-07 01:05:03,33.1,3.8844
2022-01-07 01:05:04,33.1,3.8844
2022-01-07 01:05:05,33.1,7.1302
2022-01-07 01:05:06,33.1,7.1302
2022-01-07 01:05:07,33.1,7.1302
2022-01-07 01:05:08,33.0,3.5662
2022-01-07 01:05:09,33.0,3.5662
2022-01-07 01:05:10,33.0,3.5662
2022-01-07 01:05:11,33.1,4.5388
2022-01-07 01:05:12,33.1,4.5388
2022-01-07 01:05:13,33.1,4.5388
2022-01-07 01:05:14,33.0,4.5346
2022-01-07 01:05:15,33.0,4.5346
2022-01-07 01:05:16,33.0,4.5346
2022-01-07 01:05:17,33.0,4.2081
2022-01-07 01:05:18,33.0,4.2081
2022-01-07 01:05:19,33.0,4.2081
2022-01-07 01:05:20,33.2,4.2094
2022-01-07 01:05:21,33.2,4.2094
2022-01-07 01:05:22,33.2,4.2094
2022-01-07 01:05:23,33.1,5.5097
2022-01-07 01:05:24,33.1,5.5097
2022-01-07 01:05:25,33.1,5.5097
2022-01-07 01:05:26,33.1,4.854
2022-01-07 01:05:27,33.1,4.854
2022-01-07 01:05:28,33.1,4.854
2022-01-07 01:05:29,33.1,5.1792
2022-01-07 01:05:30,33.1,5.1792
2022-01-07 01:05:31,33.1,5.1792
2022-01-07 01:05:32,33.0,3.24
2022-01-07 01:05:33,33.0,3.24
2022-01-07 01:05:34,33.0,3.24
2022-01-07 01:05:35,33.1,3.239
2022-01-07 01:05:36,33.1,3.239
2022-01-07 01:05:37,33.1,3.239
2022-01-07 01:05:38,33.2,3.8916
2022-01-07 01:05:39,33.2,3.8916
2022-01-07 01:05:40,33.2,3.8916
2022-01-07 01:05:41,33.2,7.4474
2022-01-07 01:05:42,33.2,7.4474
2022-01-07 01:05:43,33.2,7.4474
2022-01-07 01:05:44,33.1,5.8302
2022-01-07 01:05:45,33.1,5.8302
2022-01-07 01:05:46,33.1,5.8302
2022-01-07 01:05:47,33.0,4.8675
2022-01-07 01:05:48,33.0,4.8675
2022-01-07 01:05:49,33.0,4.8675
2022-01-07 01:05:50,33.3,3.8916
2022-01-07 01:05:51,33.3,3.8916
2022-01-07 01:05:52,33.3,3.8916
2022-01-07 01:05:53,33.1,3.239
2022-01-07 01:05:54,33.1,3.239
2022-01-07 01:05:55,33.1,3.239
2022-01-07 01:05:56,33.1,4.5346
2022-01-07 01:05:57,33.1,4.5346
2022-01-07 01:05:58,33.1,4.5346
2022-01-07 01:05:59,33.0,4.2107
2022-01-07 01:06:00,33.0,4.2107
2022-01-07 01:06:01,33.0,4.2107
2022-01-07 01:06:02,33.0,4.2094
2022-01-07 01:06:03,33.0,4.2094
2022-01-07 01:06:04,33.0,4.2094
2022-01-07 01:06:05,33.1,4.8525
2022-01-07 01:06:06,33.1,4.8525
2022-01-07 01:06:07,33.1,4.8525
2022-01-07 01:06:08,33.0,3.888
2022-01-07 01:06:09,33.0,3.888
2022-01-07 01:06:10,33.0,3.888
2022-01-07 01:06:11,33.3,4.8585
2022-01-07 01:06:12,33.3,4.8585
2022-01-07 01:06:13,33.3,4.8585
2022-01-07 01:06:14,33.1,3.8892
2022-01-07 01:06:15,33.1,3.8892
2022-01-07 01:06:16,33.1,3.8892
2022-01-07 01:06:17,33.0,5.1808
2022-01-07 01:06:18,33.0,5.1808
2022-01-07 01:06:19,33.0,5.1808
2022-01-07 01:06:20,33.2,4.5332
2022-01-07 01:06:21,33.2,4.5332
2022-01-07 01:06:22,33.2,4.5332
2022-01-07 01:06:23,33.1,4.529
2022-01-07 01:06:24,33.1,4.529
2022-01-07 01:06:25,33.1,4.529
2022-01-07 01:06:26,33.0,4.863
2022-01-07 01:06:27,33.0,4.863
2022-01-07 01:06:28,33.0,4.863
2022-01-07 01:06:29,33.2,5.1872
2022-01-07 01:06:30,33.2,5.1872
2022-01-07 01:06:31,33.2,5.1872
2022-01-07 01:06:32,33.0,4.5304
2022-01-07 01:06:33,33.0,4.5304
2022-01-07 01:06:34,33.0,4.5304
2022-01-07 01:06:35,33.2,4.863
2022-01-07 01:06:36,33.2,4.863
2022-01-07 01:06:37,33.2,4.863
2022-01-07 01:06:38,33.1,4.8675
2022-01-07 01:06:39,33.1,4.8675
2022-01-07 01:06:40,33.1,4.8675
2022-01-07 01:06:41,33.1,4.2133
2022-01-07 01:06:42,33.1,4.2133
2022-01-07 01:06:43,33.1,4.2133
2022-01-07 01:06:44,33.0,4.5346
2022-01-07 01:06:45,33.0,4.5346
2022-01-07 01:06:46,33.0,4.5346
2022-01-07 01:06:47,33.2,4.857
